DrinkID,alcohol,Fruit,Fruit Juice,Syrup,ice,Sugar,Other ingredians,Recipe
Bacardi Cocktail,"rum, grenadine",,lemon juice,,,,,"24 cl rum,6 cl Grenadine syrup,12 cl lemon juice
1. Put the rum, grenadine syrup and lemon juice in a shaker.Shake.}}"
Cocktail Balalaika,"vodka, cointreau",lemon,lemon juice,,ice cube,,,"4 cl vodka,2 cl cointreau,4 cl lemon juice,1 lemon,2 ice cubes
Pour alcohol and lemon juice in a tall glass over ice.
Garnish with lemon slices.}}"
Raifortissimo,,kiwi fruit,"apple juice, lemon juice",,ice cube,,wasabi,"5 cl apple juice,3 cl green lemon juice,10 g wasabi,1 kiwi fruit,3 ice cubes
Mix the kiwi fruit, add the juices, wasabi and ice cube.
Serve in a glass.}}
"
Cocktail Cranberry-orange,,"raspberry, lemon","Cranberry juice, Orange juice, lemon juice",,,,,"25 cl Cranberry juice,10 cl Orange juice,150 g raspberry,2  lemon,1 csp lemon juice
Mix the two juices.Add the raspberries and lemon juice.Mix everything pureed.Serve chilled or with ice cubes.
Decorate your glasses with a slice of lemon or orange.To your health!}}"
Pina Colada (cocktail),"malibu rum, white rum",,Pineapple juice,,ice cube,,light whipping cream,"125 g malibu rum,150 g light whipping cream,20 cl Pineapple juice,20 cl white rum,ice cubes
Put all ingredients except ice cubes in a blender and run at high speed for about 30 seconds.
Put ice cubes in glasses and pour over the cream obtained.}}"
Coconut cocktail lovers,white rum,coconut,,,,,,"1  coconut,10 cl  white rum
Pierce the coconut in 3 places on the top, and drain the water inside.Completely fill white rum.
Plug the holes by cropping a cork, and seal by pouring wax candle dessus.Ranger standing in the refrigerator for 3 weeks.}}"
Cocktail appetizer,"dry white wine, rum","lemon, orange",,,,sugar,sparkling water,"2 l dry white wine, 200 g sugar,2  lemon, 2 oranges,30 cl rum, 75 cl sparkling water

Mix all ingredients and serve chilled.}}"
Porto Flip," Porto, cognac",,,cane sugar syrup,ice cube,,"egg, cinnamon, nutmeg","4 cl Porto,2 cl cognac,1 egg,cinnamon,nutmeg,2 cl cane sugar syrup,ice cubes
In a shaker, put alcohol and cane syrup. Then add the spices. Mix with a long spoon.
Add egg and ice cubes. Close the shaker and mix.
Serve in a cocktail glass, saupodrer a little cinnamon.
It can do so only with port too.}}"
Shoot up,mangalore,,,apricot syrup,,,sparkling water,"1 cl mangalore,8 cl sparkling water,3 cl apricot syrup
Mix syrup and mangalore.
Then fill the glass by fresh carbonated water.}}"
The kiss of Smurfette,"vodka, Blue curacao",,Banana juice,Lemonade,,,,"2 cl vodka,2 cl Blue curacao,5 cl Lemonade,5 cl Banana juice

Pour all ingredients in order in a martini glass or cocktail and serve very very cool!}}"
Cocktail Praslin Islands,,,"Manguo juice,Pineapple juice,  Passion fruit juice, Lime juice",,,Sugar,,"40 cl Manguo juice,30 cl Pineapple juice, 20 l Passion fruit juice, 10 cl Lime juice, 15 g sugar
The whole is mixed in a bottle.
Shaken well for about 20 seconds and put in the fridge for it to be chilled before serving.
Serve in tall glasses and cocktail with pretty colored straws.}}"
Arranged with apple rum,rum,,apple juice,,,cane sugar,cinnamon,"25 cl rum,1 l apple juice,10 cl cane sugar,cinnamon
In a bottle, mix 25 cl dark rum with a liter of apple juice and complete with a shot of sugar cane.
Flavored with cinnamon or other according to your tastes, then let stand at least one day for the maceration is complete.}}"
Gin fizz easy,Gin,,lime,,,cane sugar,sparkling water,"6 cl Gin,3 cl  lime,1 tsp cane sugar,5 cl  sparkling water
Put all ingredients in a shaker and shake vigorously until the walls of the shaker to fog.
Pour the contents of the shaker into the two glasses with soda water and then lie down.
Serve chilled with crushed ice, a straw and a slice of lime.}}"
Cider cocktail,cointreau,,,Hard cider,,,Creme de cassis,"9 cl Hard cider,2 cl Creme de cassis, 2 cl cointreau
Mix cassis and Cointreau.Keep cool all ingredients.
At the last minute add the cider.}}"
Planter's Punch,dark rum,,"lemon juice,orange juice ","Grenadine, cane syrup",,,,"4 cl dark rum,2 cl lemon juice,10 cl orange juice,2 cl cane syrup, 1 cl grenadine syrup
Pour the rum, grenadine and lemon juice into a mixing glass filled with ice cubes.
Shake well.
Strain into a highball glass filled with ice cubes.
Add the grenadine.}}"
Coconut cocktail,,,,,,,,
Walnut cocktail coconut coffee,,,,,,,,
Rinse drops (cocktail),,,,,,,,
Cocktail MAP,,,,,,,,
Mojito with Basil,,,,,,,,
Cocktail orchard,,,,,,,,
Cocktail Pomenas,,,,,,,,
Cocktail KidiCana,,,,,,,,
Cocktail paradise,,,,,,,,
Cava Cocktail Vodka Lemon,,,,,,,,
Aperol Spritz: Italian sparkling cocktail,,,,,,,,
Limoncello cocktail,,,,,,,,
Cuban Mojito,,,,,,,,
Delicious tropical cocktail,,,,,,,,
Cocktail champanise,,,,,,,,
Negroni Cocktail,,,,,,,,
Cocktail fruit juice for children,,,,,,,,
Creole cream (cocktail),,,,,,,,
Fruit cocktail with lime,,,,,,,,
White russian cocktail,,,,,,,,
Margarita,,,,,,,,
Rainbow,,,,,,,,
Cocktail Sundays snow,,,,,,,,
Ginger cosmo,,,,,,,,
Pink cocktail whiskey,,,,,,,,
Cocktail grapefruit mint,,,,,,,,
Fruit cocktail,,,,,,,,
Champagne cocktail mint lime,,,,,,,,
Bloody mary,,,,,,,,
Tequila sunrise,,,,,,,,
Cocktail drink with raspberries,,,,,,,,
Cocktail cardinal,,,,,,,,
Cocktail anapomise,,,,,,,,
Daiquiri,,,,,,,,
Sangria without alcohol,,,,,,,,
Cocktail Tropical Sunshine,,,,,,,,
Light cocktail martini,,,,,,,,
Screwdriver,,,,,,,,
Italian prosecco cocktail,,,,,,,,
Virevoltage,,,,,,,,
Lemon-mint cocktail (without alcohol),,,,,,,,
Champagne cocktail and sake,,,,,,,,
Frosty lime,,,,,,,,
Cocktail Saltwater,,,,,,,,
Grand Marnier sour (cocktail),,,,,,,,
Amber apple cocktail,,,,,,,,
Caipirinha,,,,,,,,
Whisky Cocktail Cranberries,,,,,,,,
Aquarium,,,,,,,,
Melon cocktail bubbles,,,,,,,,
Le vandetta,,,,,,,,
Pink 3x6 (cocktail),,,,,,,,
Mojito,,,,,,,,
Cocktail Pomabricotine,,,,,,,,
EssaiCCC,,,,,,,,
Baywatch (cocktail of the colors of the famous swimwear ... or almost),,,,,,,,
Bora bora,,,,,,,,
Cocktail de fruits,,,,,,,,
Cocktail latte,,,,,,,,
Cocktail kumquat and lychee,,,,,,,,
Mexican cocktail in my way,,,,,,,,
Fraisalia cocktail (without alcohol),,,,,,,,
Sweet pink cocktail,,,,,,,,
Red cocktail,,,,,,,,
Cocktail Sweet Melon,,,,,,,,
Champagne cocktail,,,,,,,,
Cocktail variant (based rose),,,,,,,,
Double show,,,,,,,,
Hulk (cocktail),,,,,,,,
Cocktail mexicanos,,,,,,,,
Black velvet,,,,,,,,
Champagne soup (cocktail),,,,,,,,
Cuba libre,,,,,,,,
Tutti cocktail,,,,,,,,
Pina colada,,,,,,,,
Strawberry Margarita,,,,,,,,
Pink cocktail pink grapefruit,,,,,,,,
"Bacardi cocktail, grenadine, lemon",,,,,,,,
MTS Cocktail,,,,,,,,
Madras Cocktail,,,,,,,,
